Order Date,Sales
2024-01-01,1685
2024-01-02,1670
2024-01-03,1700
2024-01-04,1690
2024-01-05,1680
2024-01-06,1675
2024-01-07,1660
2024-01-08,1650
2024-01-09,1665
2024-01-10,1655
2024-01-11,1640
2024-01-12,1635
2024-01-13,1625
2024-01-14,1630
2024-01-15,1620
2024-01-16,1615
2024-01-17,1605
2024-01-18,1610
2024-01-19,1595
2024-01-20,1580
2024-01-21,1585
2024-01-22,1570
2024-01-23,1565
2024-01-24,1560
2024-01-25,1550
2024-01-26,1545
2024-01-27,1540
2024-01-28,1530
2024-01-29,1520
2024-01-30,1515
2024-01-31,1505
2024-02-01,1500
2024-02-02,1490
2024-02-03,1485
2024-02-04,1475
2024-02-05,1480
2024-02-06,1470
2024-02-07,1460
2024-02-08,1455
2024-02-09,1450
2024-02-10,1445
2024-02-11,1440
2024-02-12,1435
2024-02-13,1430
2024-02-14,1425
2024-02-15,1420
2024-02-16,1415
2024-02-17,1410
2024-02-18,1405
2024-02-19,1400
2024-02-20,1395
2024-02-21,1390
2024-02-22,1385
2024-02-23,1380
2024-02-24,1375
2024-02-25,1370
2024-02-26,1365
2024-02-27,1360
2024-02-28,1355
2024-02-29,1350
2024-03-01,1345
2024-03-02,1340
2024-03-03,1335
2024-03-04,1330
2024-03-05,1325